,Year,GTCBSA,PEHRUSLT,PEDIPGED,PECYC,PEAFEVER,PEAFNOW,Hours Usually Worked,PEERNLAB,Household Income,Household Members,HS or GED,Years of College,Ever in Military,Currently in Military,Union Member,City
42,23,16060,16.11111111111111,-0.5185185185185185,0.07407407407407407,0.8888888888888888,1.0,-0.07407407407407407,-0.8148148148148148,12.851851851851851,3.6666666666666665,0.18518518518518517,0.5555555555555556,0.0,0.0,0.037037037037037035,"Carbondale-Marion, IL"
43,23,16300,12.978260869565217,-0.6847826086956522,-0.22826086956521738,1.141304347826087,1.315217391304348,-0.10869565217391304,-0.8478260869565217,13.847826086956522,3.4565217391304346,0.15217391304347827,0.22826086956521738,0.14492753623188406,0.0,0.010869565217391304,"Cedar Rapids, IA"
44,23,16540,18.03846153846154,-0.4807692307692308,-0.21153846153846154,1.2115384615384615,1.3076923076923077,0.5769230769230769,-0.6730769230769231,13.346153846153847,3.6153846153846154,0.25,0.3269230769230769,0.05128205128205128,0.0,0.019230769230769232,"Chambersburg-Waynesboro, PA"
45,23,16580,16.885714285714286,-0.7428571428571429,-0.17142857142857143,1.2857142857142858,1.4857142857142858,0.0,-0.5142857142857142,12.257142857142858,2.8857142857142857,0.11428571428571428,0.37142857142857144,0.037037037037037035,0.0,0.02857142857142857,"Champaign-Urbana, IL"
46,23,16620,14.990049751243781,-0.31343283582089554,-0.1890547263681592,1.3532338308457712,1.5223880597014925,0.24875621890547264,-0.7761194029850746,10.442786069651742,2.671641791044776,0.31343283582089554,0.373134328358209,0.11585365853658537,0.0,0.0,"Charleston, WV"
47,23,16700,18.290836653386453,-0.6693227091633466,-0.2589641434262948,1.350597609561753,1.5697211155378485,0.6693227091633466,-0.6533864541832669,12.749003984063744,2.7768924302788847,0.16334661354581673,0.350597609561753,0.16346153846153846,0.013888888888888888,0.0,"Charleston-North Charleston, SC"
48,23,16740,17.8414442700157,-0.5180533751962323,-0.32653061224489793,1.3987441130298273,1.5337519623233908,0.6357927786499215,-0.598116169544741,12.580847723704867,2.9183673469387754,0.22919937205651492,0.315541601255887,0.06153846153846154,0.0,0.007849293563579277,"Charlotte-Concord-Gastonia, NC-SC"
49,23,16820,21.060606060606062,-0.696969696969697,-0.6666666666666666,1.2424242424242424,1.2727272727272727,-1.0,-0.5454545454545454,12.545454545454545,2.696969696969697,0.15151515151515152,0.15151515151515152,0.04,0.0,0.0,"Charlottesville, VA"
50,23,16860,13.308943089430894,-0.5609756097560976,0.2845528455284553,1.4227642276422765,1.5853658536585367,1.5528455284552845,-0.7317073170731707,11.8130081300813,2.821138211382114,0.21951219512195122,0.6991869918699187,0.0784313725490196,0.0,0.0,"Chattanooga, TN-GA"
51,23,16980,18.35287846481876,-0.5842217484008528,-0.24946695095948826,1.3800639658848615,1.5069296375266525,0.39125799573560766,-0.6871002132196162,12.836886993603411,3.1844349680170576,0.20042643923240938,0.34754797441364604,0.052805280528052806,0.0006377551020408163,0.013326226012793176,"Chicago-Naperville-Elgin, IL-IN-WI"
